offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
10,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,450,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,450,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,550,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,550,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,550,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,600,179,10,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,600,179,20,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
20,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
20,530,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
20,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
30,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
30,520,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
30,580,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
40,425,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
40,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
40,550,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
60,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
60,510,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
60,575,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
80,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
80,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
80,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,525,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
100,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,550,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
150,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_1px - 0.01"
10,220,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
10,350,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
10,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
20,210,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
20,350,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
20,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
30,200,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
30,400,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
30,600,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
40,200,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
40,400,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
40,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
60,200,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
60,300,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
60,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
80,160,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
80,300,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
80,500,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
100,160,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
100,300,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
100,450,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - sift - dilated_dilated - 0.01"
