offset,threshold,correct,max_matches,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score,extra_info
40,25,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
40,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
40,60,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
60,19,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
60,30,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
60,50,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
80,15,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
80,25,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
80,40,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
100,14,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
100,25,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
100,35,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
150,13,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
150,20,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
150,30,179,0,0,179,0,199,0.473544973544974,0,0,0,"feature, brute, threshold - orb - dilated_1px - 0.01"
